Manufacturer,Model,Code Name,Model Number,Carrier,IMEI,Serial Number,Barcode,HW,ICCID,IMSI,MDN,Custody,Received,Owner,Transfer Dates,Additional info
Motorola,,Hannah (DVT2),,MPCS,354138090000100,N1ET390016,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Hannah (DVT2),,MPCS,354138090000159,N1ET390006,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Hannah (DVT2),,Non-Stock,351892090027587,N1EN340148,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Hannah (DVT2),,Non-Stock,351893090012769,N1EC310220,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Sheridan,,T-Mobile,358180070010903,NVWR4H0103,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Nora (DVT),,T-Mobile,354132090009583,N2AN1A0385,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Nora (DVT),,T-Mobile,354132090010243,N2AN1A0415,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Beckham,,T-Mobile,351886090024701,NS9A2C0240,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Jeter (DVT2),,T-Mobile,351864090043203,N1AN3D0029,,,N/A,,,Forrest Holub,6/7/2018,DUT,,
Motorola,,Beckham,,T-Mobile,351886090024438,NS9A2C0308,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Hannah (DVT2),,T-Mobile,351883090036363,N1ET310315,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Hannah (DVT2),,MPCS,354138090000167,N1ET390013,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Hannah (DVT2),,MPCS,354138090000175,N1ET390015,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Hannah (DVT2),,MPCS,354138090000092,N1ET390012,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Nora,,T-Mobile,354132090009633,N2AN1A0090,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Nora,,T-Mobile,354132090009443,N2AN1A0583,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Jeter (DVT2),,T-Mobile,351864090047444,N1AN320079,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Hannah (DVT2),,MPCS,354138090000076,N1ET390004,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Beckham,,T-Mobile,351886090024669,NS9A2C0216,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Beckham,,T-Mobile,351886090024651,NS9A2C0066,,,N/A,,,Forrest Holub,6/6/2018,DUT,,
Motorola,,Ocean (DVT2),,T-Mobile,359528090017101,NLHT270212,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,Ocean (DVT2),,T-Mobile,359528090016889,NLHT270179,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,Ocean (DVT2),,Non-Stock,359252090053383,NLHT270172,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,Ocean (DVT2),,Non-Stock,359525090053375,NLHT270271,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,Ocean,,MPCS,359527090004002,NLHT210056,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,Ocean,,MPCS,359527090003707,NLHT210053,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,River (PVT),,Non-Stock,355569090028882,NRMT410017,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,River (PVT),,Non-Stock,355569090029112,NRMT410040,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,River (PVT),,Non-Stock,355569090029716,NRMT410042,,,N/A,,,Forrest Holub,12/16/2018,DUT,,
Motorola,,Ocean (PVT1),,T-Mobile,359528090028868,NLHT410232,,,N/A,,,Forrest Holub,1/7/2019,DUT,,
Motorola,,Ocean (PVT1),,T-Mobile,359528090029502,NLHT410231,,,N/A,,,Forrest Holub,1/7/2019,DUT,,
Motorola,,Ocean (DVT2),,T-Mobile,359528090017309,NLHT2C0003,,,N/A,,,Forrest Holub,1/25/2019,DUT,,
Motorola,,Ocean (DVT2),,T-Mobile,359528090017242,NLHT2C0005,,,N/A,,,Forrest Holub,1/25/2019,DUT,,
Motorola,,Ocean (DVT2),,T-Mobile,359528090017234,NLHT2C0006,,,N/A,,,Forrest Holub,1/25/2019,DUT,,
